datasize   searchradius   distcalculation   searchtime   searchresults   avgpeakworkingsetsize   peakworkingsetsize   avgpeekmemoryUseSize   peekmemoryUseSize   
1000              0            6.3           0.0280802            1.9             7.61914             7.62109             269.072             269.074
1000              1           17.9           0.0468003              2             7.62891             7.62891             269.082             269.082
1000              2           57.9           0.0858006            2.2             7.62891             7.62891             269.082             269.082
1000              3          141.9            0.129481            2.9             7.62891             7.62891             269.082             269.082
1000              4          212.9            0.141961            4.3             7.62891             7.62891             269.082             269.082
1000              5          388.5            0.201241            6.9             7.62891             7.62891             269.082             269.082
1000              6          503.6            0.230881           11.6             7.62891             7.62891             269.082             269.082
1000              7          678.3            0.316682           19.8             7.62891             7.62891             269.082             269.082
1000              8            734            0.335402           33.5             7.62891             7.62891             269.082             269.082
1000              9          746.6            0.310442             52             7.62891             7.62891             269.082             269.082
1000             10          751.4            0.254282           91.2             7.62891             7.62891             269.082             269.082
